Log{id='f1516a9e-0ac3-4e25-8ca9-bdb6d4c90039', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:37:34.869145'}
Log{id='88f9c32a-dd5f-4c97-9733-5308c1fa67f2', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:38:34.871542700'}
Log{id='9a3a8577-9003-44dd-8889-640c78eaf6a9', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:39:34.871835800'}
Log{id='06ed86dc-a326-43b7-9b51-b86588f45902', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:40:34.872502700'}
Log{id='b53a271c-3ba0-4c83-b4f3-9c8c2fb771a7', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:41:34.874444800'}
Log{id='c44b8d1b-2e3f-4142-980d-03eb86de33ef', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:42:34.874604300'}
Log{id='ab874191-3e4c-46d4-b9a4-52b8590fa9fb', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:43:34.874425'}
Log{id='d42edc49-766d-4b1d-83e1-92e700ef09b9', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:44:34.875632100'}
Log{id='d256794e-60b5-4ad2-8e77-4fd775bc9736', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:45:34.875431100'}
Log{id='885f9486-2c2c-4c7e-a5f2-b306d99d54b5', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:46:34.878222800'}
Log{id='c685cebc-2e43-44ff-b299-bbcada71acb2', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:47:34.894831500'}
Log{id='a9ba9903-53b7-4f47-885c-ecc17a07ee40', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:48:34.910556600'}
Log{id='27d15d68-6a03-496d-83a3-3215f0a4f4b4', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:49:34.913404300'}
Log{id='3aa07b40-d9b0-4bfe-9d20-5c4bbd895d26', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:50:34.912352800'}
Log{id='5633d49b-9207-4c5b-8c90-f135abb66c47', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:51:34.912583200'}
Log{id='d875dcfd-423c-4938-8d9e-0ee9f1cb5b73', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:52:34.913182'}
Log{id='aa6629ea-b814-4426-a35a-097462b2686b', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:53:34.913410300'}
Log{id='c6291d2a-ad65-47bd-a5f6-e20b1cf2b0c4', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:54:34.915809400'}
Log{id='bb575998-1d45-47bf-94d5-7596739d5965', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:55:34.925294400'}
Log{id='4b048312-98d0-49fa-8061-fd7da6baebc3', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:56:34.926151'}
Log{id='46de9f40-f6c4-4a1b-8d66-0f833254889e', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:57:34.926240700'}
Log{id='4fc93672-acbf-4791-8ce8-6f6de02f61df', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:58:34.927106900'}
Log{id='cad3b8ab-89fe-4904-9db9-19bd711a95cd', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:59:34.928250500'}
